1,'Bayern München','FCB','fc-bayern-muenchen-wappen.png','A',0,0
2,'Borussia Dortmund','BVB','borussia-dortmund-wappen.png','A',0,0
3,'Bayer Leverkusen','B04','bayer-04-leverkusen-wappen.png','A',0,0
4,'FC Schalke 04','S04','fc-schalke-04-wappen.png','A',0,0
5,'VfB Stuttgart','VFB','vfb-stuttgart-wappen.png','A',0,0
6,'Eintracht Frankfurt','SGE','eintracht-frankfurt-wappen.png','A',0,0
7,'Bor. Mönchengladbach','BMG','borussia-moenchengladbach-wappen.png','A',0,0
8,'RB Leipzig','RBL','leipzig.png','A',0,0
9,'Hannover 96','HAN','hannover-96-wappen.png','A',0,0
10,'VfL Wolfsburg','WOB','vfl-wolfsburg-wappen.png','A',0,0
11,'SC Freiburg','SCF','freiburg.png','A',0,0
12,'1. FSV Mainz 05','M05','fsv-mainz-05-wappen.png','A',0,0
13,'Werder Bremen','BRE','werder-bremen-wappen.png','A',0,0
14,'FC Augsburg','FCA','fc-augsburg-wappen.png','A',0,0
15,'1899 Hoffenheim','HOF','tsg-1899-hoffenheim-wappen.png','A',0,0
16,'Hertha BSC Berlin','BSC','Hertha_BSC.png','A',0,0
17,'1. FC Nürnberg','FCN','1-fc-nuernberg-wappen.png','A',0,0
18,'Fortuna Düsseldorf','F95','fortuna-duesseldorf-wappen.png','A',0,0
