1,'FC Bayern München','FCB','fc-bayern-muenchen-wappen.png','A',0,0
2,'Hertha BSC','BSC','Hertha_BSC.png','A',0,0
3,'Borussia Dortmund','BVB','borussia-dortmund-wappen.png','A',0,0
4,'FC Augsburg','FCA','fc-augsburg-wappen.png','A',0,0
5,'Bayer 04 Leverkusen','B04','bayer-04-leverkusen-wappen.png','A',0,0
6,'SC Paderborn 07','SCP','paderborn.png','A',0,0
7,'Borussia Mönchengladbach','BMG','borussia-moenchengladbach-wappen.png','A',0,0
8,'FC Schalke 04','S04','fc-schalke-04-wappen.png','A',0,0
9,'VfL Wolfsburg','WOB','vfl-wolfsburg-wappen.png','A',0,0
10,'1. FC Köln','FCK','fc_koeln.png ','A',0,0
11,'Eintracht Frankfurt','SGE','eintracht-frankfurt-wappen.png','A',0,0
12,'TSG 1899 Hoffenheim','HOF','tsg-1899-hoffenheim-wappen.png','A',0,0
13,'SV Werder Bremen','BRE','werder-bremen-wappen.png','A',0,0
14,'Fortuna Düsseldorf','F95','fortuna-duesseldorf-wappen.png','A',0,0
15,'Sport-Club Freiburg','SCF','freiburg.png','A',0,0
16,'1. FSV Mainz 05','M05','fsv-mainz-05-wappen.png','A',0,0
17,'1. FC Union Berlin','UNB','unionberlin.png','A',0,0
18,'RB Leipzig','RBL','leipzig.png','A',0,0
